[rosmaster.main][INFO] 2021-05-09 10:49:46,477: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2021-05-09 10:49:46,477: Starting ROS Master Node
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/wam_v/left_driving_force_controller/propeller/fluid_density] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/wam_v/left_driving_force_controller/propeller/turning_radius] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/wam_v/left_driving_force_controller/propeller/k1] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/robot_pose_ekf/sensor_timeout] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/wam_v/ship_controller/left_motor_command_topic] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/google_static_map_api_key] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/wam_v/right_driving_force_controller/max_rotational_speed] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/wam_v/ship_controller/left_motor_joint] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/object_recognition_node/target_objects/buoy/stl_filename] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,319: +PARAM [/wam_v/left_driving_force_controller/motor_command_topic] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,320: +PARAM [/wam_v/right_motor_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,320: +PARAM [/wam_v/ship_controller/angular/min_velocity] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,320: +PARAM [/wam_v/right_driving_force_controller/propeller/turning_radius] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,320: +PARAM [/wam_v/right_driving_force_controller/propeller/fluid_density] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,320: +PARAM [/wam_v/right_driving_force_controller/motor_command_topic] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,320: +PARAM [/wam_v/ship_controller/izz] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,320: +PARAM [/wam_v/right_driving_force_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,320: +PARAM [/wam_v/left_driving_force_controller/max_rotational_speed] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,320: +PARAM [/wam_v/ship_controller/mass] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/ship_controller/motor_distance] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/left_driving_force_controller/driving_force_command_topic] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/right_motor_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/left_driving_force_controller/characteristic_curve_file_name] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/ship_controller/linear/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/right_motor_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/left_driving_force_controller/twist_topic] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/ship_controller/linear/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/robot_pose_ekf/vo_used] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/ship_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,321: +PARAM [/wam_v/right_motor_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/water_surface_height] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/wam_v/joint_state_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/wam_v/ship_controller/right_motor_joint] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/wam_v/left_driving_force_controller/propeller/k2] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/wam_v/right_driving_force_controller/min_rotational_speed] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/wam_v/left_driving_force_controller/propeller/k0] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/wam_v/left_driving_force_controller/min_rotational_speed] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/wam_v/right_driving_force_controller/driving_force_command_topic] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,322: +PARAM [/object_recognition_node/target_objects/buoy/marker_filename] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,323: +PARAM [/wam_v/left_driving_force_controller/gradient_descent/alpha] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,323: +PARAM [/wam_v/left_motor_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,323: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,323: +PARAM [/wam_v/left_motor_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,323: +PARAM [/wam_v/ship_controller/linear/min_velocity] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,323: +PARAM [/wam_v/left_motor_controller/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,323: +PARAM [/wam_v/left_motor_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,323: +PARAM [/robot_pose_ekf/output_frame] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/left_motor_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/ship_controller/linear/pid/d] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/right_driving_force_controller/gradient_descent/alpha] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/ship_controller/linear/pid/i] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/left_driving_force_controller/type] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/geographic_map_server_node/osm_filepath] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/utm_odometry_node/child_frame_id] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/ship_controller/twist_topic] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/robot_pose_ekf/debug] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/robot_pose_ekf/self_diagnose] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/right_driving_force_controller/propeller/k1] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/right_driving_force_controller/propeller/k0] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/right_driving_force_controller/propeller/k2] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/right_driving_force_controller/characteristic_curve_file_name] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,324: +PARAM [/wam_v/right_driving_force_controller/gradient_descent/tolerance] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,325: +PARAM [/wam_v/right_driving_force_controller/twist_topic] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,325: +PARAM [/wam_v/right_motor_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,325: +PARAM [/robot_pose_ekf/freq] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,325: +PARAM [/wam_v/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2021-05-09 10:50:10,614: +PUB [/rosout] /utm_odometry_node http://shang:46487/
[rosmaster.master][INFO] 2021-05-09 10:50:10,615: +SERVICE [/utm_odometry_node/get_loggers] /utm_odometry_node http://shang:46487/
[rosmaster.master][INFO] 2021-05-09 10:50:10,624: +SERVICE [/utm_odometry_node/set_logger_level] /utm_odometry_node http://shang:46487/
[rosmaster.master][INFO] 2021-05-09 10:50:10,634: +SUB [/clock] /utm_odometry_node http://shang:46487/
[rosmaster.master][INFO] 2021-05-09 10:50:10,635: +PUB [/rosout] /wam_v/robot_state_publisher http://shang:32813/
[rosmaster.master][INFO] 2021-05-09 10:50:10,643: +PUB [/rosout] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:10,645: +SERVICE [/wam_v/robot_state_publisher/get_loggers] /wam_v/robot_state_publisher http://shang:32813/
[rosmaster.master][INFO] 2021-05-09 10:50:10,660: +SERVICE [/robot_pose_ekf/get_loggers] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:10,664: +SERVICE [/wam_v/robot_state_publisher/set_logger_level] /wam_v/robot_state_publisher http://shang:32813/
[rosmaster.master][INFO] 2021-05-09 10:50:10,677: +SERVICE [/robot_pose_ekf/set_logger_level] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:10,681: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/']
[rosmaster.master][INFO] 2021-05-09 10:50:10,690: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:10,706: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/']
[rosmaster.master][INFO] 2021-05-09 10:50:10,712: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:10,712: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/']
[rosmaster.master][INFO] 2021-05-09 10:50:10,715: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:10,735: +PUB [/rosout] /geographic_map_server_node http://shang:35195/
[rosmaster.master][INFO] 2021-05-09 10:50:10,743: +SERVICE [/geographic_map_server_node/get_loggers] /geographic_map_server_node http://shang:35195/
[rosmaster.master][INFO] 2021-05-09 10:50:10,748: +PUB [/gps_odom] /utm_odometry_node http://shang:46487/
[rosmaster.master][INFO] 2021-05-09 10:50:10,750: +SERVICE [/geographic_map_server_node/set_logger_level] /geographic_map_server_node http://shang:35195/
[rosmaster.master][INFO] 2021-05-09 10:50:10,788: +SUB [/clock] /wam_v/robot_state_publisher http://shang:32813/
[rosmaster.master][INFO] 2021-05-09 10:50:10,789: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/']
[rosmaster.master][INFO] 2021-05-09 10:50:10,790: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:10,815: +SUB [/clock] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:10,824: +SUB [/fix] /utm_odometry_node http://shang:46487/
[rosmaster.master][INFO] 2021-05-09 10:50:10,841: +PUB [/tf] /wam_v/robot_state_publisher http://shang:32813/
[rosmaster.master][INFO] 2021-05-09 10:50:10,844: +PUB [/tf_static] /wam_v/robot_state_publisher http://shang:32813/
[rosmaster.master][INFO] 2021-05-09 10:50:10,848: +SUB [/clock] /geographic_map_server_node http://shang:35195/
[rosmaster.master][INFO] 2021-05-09 10:50:10,855: +SUB [/tf] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:10,925: +SUB [/tf_static] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:10,940: +PUB [/tf] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:10,960: +SUB [/wam_v/joint_states] /wam_v/robot_state_publisher http://shang:32813/
[rosmaster.master][INFO] 2021-05-09 10:50:10,994: publisherUpdate[/tf] -> http://shang:34957/ ['http://shang:32813/', 'http://shang:34957/']
[rosmaster.master][INFO] 2021-05-09 10:50:10,996: publisherUpdate[/tf] -> http://shang:34957/ ['http://shang:32813/', 'http://shang:34957/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:11,024: +PUB [/robot_pose_ekf/odom_combined] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:11,041: +SUB [/imu] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:11,052: +SUB [/gps_odom] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:11,053: +SERVICE [/robot_pose_ekf/get_status] /robot_pose_ekf http://shang:34957/
[rosmaster.master][INFO] 2021-05-09 10:50:11,111: +SUB [/fix_velocity] /geographic_map_server_node http://shang:35195/
[rosmaster.master][INFO] 2021-05-09 10:50:11,118: +SUB [/fix] /geographic_map_server_node http://shang:35195/
[rosmaster.master][INFO] 2021-05-09 10:50:11,191: +PUB [/rosout] /object_recognition_node http://shang:38471/
[rosmaster.master][INFO] 2021-05-09 10:50:11,192: +SERVICE [/object_recognition_node/get_loggers] /object_recognition_node http://shang:38471/
[rosmaster.master][INFO] 2021-05-09 10:50:11,193: +SERVICE [/object_recognition_node/set_logger_level] /object_recognition_node http://shang:38471/
[rosmaster.master][INFO] 2021-05-09 10:50:11,195: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/']
[rosmaster.master][INFO] 2021-05-09 10:50:11,197: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:11,213: +SUB [/clock] /object_recognition_node http://shang:38471/
[rosmaster.master][INFO] 2021-05-09 10:50:11,252: +PUB [/rosout] /rviz http://shang:37715/
[rosmaster.master][INFO] 2021-05-09 10:50:11,253: +SERVICE [/rviz/get_loggers] /rviz http://shang:37715/
[rosmaster.master][INFO] 2021-05-09 10:50:11,256: +SERVICE [/rviz/set_logger_level] /rviz http://shang:37715/
[rosmaster.master][INFO] 2021-05-09 10:50:11,281: +SUB [/clock] /rviz http://shang:37715/
[rosmaster.master][INFO] 2021-05-09 10:50:11,297: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/']
[rosmaster.master][INFO] 2021-05-09 10:50:11,298: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:11,332: +PUB [/rosout] /wam_v/controller_spawner http://shang:38271/
[rosmaster.master][INFO] 2021-05-09 10:50:11,339: +SUB [/clock] /wam_v/controller_spawner http://shang:38271/
[rosmaster.master][INFO] 2021-05-09 10:50:11,343: +SERVICE [/cmd_pub_left/get_loggers] /cmd_pub_left http://shang:46023/
[rosmaster.master][INFO] 2021-05-09 10:50:11,345: +PUB [/rosout] /kml_plotter_node http://shang:43333/
[rosmaster.master][INFO] 2021-05-09 10:50:11,352: +SERVICE [/cmd_pub_left/set_logger_level] /cmd_pub_left http://shang:46023/
[rosmaster.master][INFO] 2021-05-09 10:50:11,354: +SERVICE [/wam_v/controller_spawner/get_loggers] /wam_v/controller_spawner http://shang:38271/
[rosmaster.master][INFO] 2021-05-09 10:50:11,355: +SERVICE [/cmd_pub_right/get_loggers] /cmd_pub_right http://shang:41393/
[rosmaster.master][INFO] 2021-05-09 10:50:11,357: +SERVICE [/wam_v/controller_spawner/set_logger_level] /wam_v/controller_spawner http://shang:38271/
[rosmaster.master][INFO] 2021-05-09 10:50:11,358: +PUB [/wam_v/ship_controller/left_driving_force] /cmd_pub_left http://shang:46023/
[rosmaster.master][INFO] 2021-05-09 10:50:11,360: +SUB [/clock] /kml_plotter_node http://shang:43333/
[rosmaster.master][INFO] 2021-05-09 10:50:11,362: +SERVICE [/cmd_pub_right/set_logger_level] /cmd_pub_right http://shang:41393/
[rosmaster.master][INFO] 2021-05-09 10:50:11,368: +PUB [/wam_v/ship_controller/right_driving_force] /cmd_pub_right http://shang:41393/
[rosmaster.master][INFO] 2021-05-09 10:50:11,370: +SERVICE [/kml_plotter_node/get_loggers] /kml_plotter_node http://shang:43333/
[rosmaster.master][INFO] 2021-05-09 10:50:11,372: +SERVICE [/kml_plotter_node/set_logger_level] /kml_plotter_node http://shang:43333/
[rosmaster.master][INFO] 2021-05-09 10:50:11,398: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/']
[rosmaster.master][INFO] 2021-05-09 10:50:11,399: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:11,399: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/', 'http://shang:43333/']
[rosmaster.master][INFO] 2021-05-09 10:50:11,399: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/', 'http://shang:43333/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:11,514: +SUB [/fix] /kml_plotter_node http://shang:43333/
[rosmaster.master][INFO] 2021-05-09 10:50:11,535: +PUB [/object_recognition_node/detected_objects] /object_recognition_node http://shang:38471/
[rosmaster.master][INFO] 2021-05-09 10:50:11,536: +PUB [/object_recognition_node/detected_objects/marker] /object_recognition_node http://shang:38471/
[rosmaster.master][INFO] 2021-05-09 10:50:11,543: +SUB [/velodyne_points] /object_recognition_node http://shang:38471/
[rosmaster.master][INFO] 2021-05-09 10:50:11,781: +SUB [/tf] /rviz http://shang:37715/
[rosmaster.master][INFO] 2021-05-09 10:50:11,798: +SUB [/tf_static] /rviz http://shang:37715/
[rosmaster.master][INFO] 2021-05-09 10:50:11,916: +PUB [/rosout] /gazebo http://shang:43991/
[rosmaster.master][INFO] 2021-05-09 10:50:11,917: +SERVICE [/gazebo/get_loggers] /gazebo http://shang:43991/
[rosmaster.master][INFO] 2021-05-09 10:50:11,918: +SERVICE [/gazebo/set_logger_level] /gazebo http://shang:43991/
[rosmaster.master][INFO] 2021-05-09 10:50:11,927: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/', 'http://shang:43333/', 'http://shang:43991/']
[rosmaster.master][INFO] 2021-05-09 10:50:11,928: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/', 'http://shang:43333/', 'http://shang:43991/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:11,931: +PUB [/rosout] /gazebo_gui http://shang:35083/
[rosmaster.master][INFO] 2021-05-09 10:50:11,938: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://shang:35083/
[rosmaster.master][INFO] 2021-05-09 10:50:11,941: +PUB [/initialpose] /rviz http://shang:37715/
[rosmaster.master][INFO] 2021-05-09 10:50:11,942: +SUB [/clock] /gazebo http://shang:43991/
[rosmaster.master][INFO] 2021-05-09 10:50:11,943: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://shang:35083/
[rosmaster.master][INFO] 2021-05-09 10:50:11,944: +PUB [/goal] /rviz http://shang:37715/
[rosmaster.master][INFO] 2021-05-09 10:50:11,953: +SUB [/clock] /gazebo_gui http://shang:35083/
[rosmaster.master][INFO] 2021-05-09 10:50:12,003: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/', 'http://shang:43333/', 'http://shang:43991/', 'http://shang:35083/']
[rosmaster.master][INFO] 2021-05-09 10:50:12,004: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/', 'http://shang:43333/', 'http://shang:43991/', 'http://shang:35083/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:12,132: +PUB [/rosout] /plot_characteristic_curve_node http://shang:45887/
[rosmaster.master][INFO] 2021-05-09 10:50:12,136: +SUB [/clock] /plot_characteristic_curve_node http://shang:45887/
[rosmaster.master][INFO] 2021-05-09 10:50:12,138: +SERVICE [/plot_characteristic_curve_node/get_loggers] /plot_characteristic_curve_node http://shang:45887/
[rosmaster.master][INFO] 2021-05-09 10:50:12,139: +SERVICE [/plot_characteristic_curve_node/set_logger_level] /plot_characteristic_curve_node http://shang:45887/
[rosmaster.master][INFO] 2021-05-09 10:50:12,143: +PUB [/rosout] /urdf_spawner http://shang:36613/
[rosmaster.master][INFO] 2021-05-09 10:50:12,149: +PUB [/rosout] /red_buoy_01/buoy_spawner_red_01 http://shang:35193/
[rosmaster.master][INFO] 2021-05-09 10:50:12,154: +SUB [/clock] /urdf_spawner http://shang:36613/
[rosmaster.master][INFO] 2021-05-09 10:50:12,156: +SUB [/clock] /red_buoy_01/buoy_spawner_red_01 http://shang:35193/
[rosmaster.master][INFO] 2021-05-09 10:50:12,158: +SERVICE [/urdf_spawner/get_loggers] /urdf_spawner http://shang:36613/
[rosmaster.master][INFO] 2021-05-09 10:50:12,161: +SERVICE [/urdf_spawner/set_logger_level] /urdf_spawner http://shang:36613/
[rosmaster.master][INFO] 2021-05-09 10:50:12,163: +SERVICE [/red_buoy_01/buoy_spawner_red_01/get_loggers] /red_buoy_01/buoy_spawner_red_01 http://shang:35193/
[rosmaster.master][INFO] 2021-05-09 10:50:12,165: +SERVICE [/red_buoy_01/buoy_spawner_red_01/set_logger_level] /red_buoy_01/buoy_spawner_red_01 http://shang:35193/
[rosmaster.master][INFO] 2021-05-09 10:50:12,204: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/', 'http://shang:43333/', 'http://shang:43991/', 'http://shang:35083/', 'http://shang:45887/']
[rosmaster.master][INFO] 2021-05-09 10:50:12,204: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/', 'http://shang:43333/', 'http://shang:43991/', 'http://shang:35083/', 'http://shang:45887/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2021-05-09 10:50:12,205: publisherUpdate[/rosout] -> http://shang:40781/ ['http://shang:46487/', 'http://shang:32813/', 'http://shang:34957/', 'http://shang:35195/', 'http://shang:38471/', 'http://shang:37715/', 'http://shang:38271/', 'http://shang:43333/', 'http://shang:43991/', 'http://shang:35083/', 'http://shang:45887/', 'http://shang:36613/']
